language,country-code,geoId,name,local-name,trimmed-name,is-exclude
vi,VN,30016217,My Hoa Commune,Xã Mỹ Hòa,Mỹ Hòa,FALSE
vi,VN,30016214,Dong Thanh Commune,Xã Đông Thạnh,Đông Thạnh,FALSE
vi,VN,30016218,Dong Thanh Commune,Xã Đông Thành,Đông Thành,FALSE
vi,VN,10011461,Thuan An Commune,Xã Thuận An,Thuận An,FALSE
vi,VN,30015283,Tan Hoi Commune,Xã Tân Hội,Tân Hội,FALSE
vi,VN,30016041,An Chau Township,Thị trấn An Châu,An Châu,FALSE
vi,VN,30016209,Vi Trung Commune,Xã Vị Trung,Vị Trung,FALSE
vi,VN,30016207,Vi Dong Commune,Xã Vị Đông,Vị Đông,FALSE
vi,VN,30016208,Vi Thang Commune,Xã Vị Thắng,Vị Thắng,FALSE
vi,VN,30016206,Vi Binh Commune,Xã Vị Bình,Vị Bình,FALSE
vi,VN,30016211,Vinh Trung Commune,Xã Vĩnh Trung,Vĩnh Trung,FALSE
vi,VN,30016212,Vinh Tuong Commune,Xã Vĩnh Tường,Vĩnh Tường,FALSE
vi,VN,30016210,Vinh Thuan Tay Commune,Xã Vĩnh Thuận Tây,Vĩnh Thuận Tây,FALSE
vi,VN,30073485,Can Tho City,Thành phố Cần Thơ,Cần Thơ,FALSE
vi,VN,10010740,Vi Thanh Commune,Xã Vị Thanh,Vị Thanh,FALSE
vi,VN,10009849,Vi Thuy Commune,Xã Vị Thủy,Vị Thủy,FALSE
vi,VN,10009866,Can Tho City,Thành phố Cần Thơ,Cần Thơ,FALSE
vi,VN,30015773,Tan Tien Commune,Xã Tân Tiến,Tân Tiến,FALSE
vi,VN,30015771,Hoa Luu Commune,Xã Hỏa Lựu,Hỏa Lựu,FALSE
vi,VN,30015774,Vi Tan Commune,Xã Vị Tân,Vị Tân,FALSE
vi,VN,30015772,Hoa Tien Commune,Xã Hỏa Tiến,Hỏa Tiến,FALSE
vi,VN,10009933,Long An Province,Tỉnh Long An,Long An,FALSE
vi,VN,30073494,Dak Lak,Tỉnh Đắk Lắk,Đắk Lắk,FALSE
vi,VN,10009823,Phu Yen Province,Tỉnh Phú Yên,Phú Yên,FALSE
vi,VN,10010731,Tuy Hoa City,Thành phố Tuy Hòa,Tuy Hòa,FALSE
vi,VN,10010651,Tay Hoa District,Huyện Tây Hòa,Tây Hòa,FALSE
vi,VN,30014883,Phu Thu Township,Thị trấn Phú Thứ,Phú Thứ,FALSE
vi,VN,10010050,Dak Lak Province,Tỉnh Đắk Lắk,Đắk Lắk,FALSE
vi,VN,30016204,Phuoc Luu Commune,Xã Phước Lưu,Phước Lưu,FALSE
vi,VN,30016200,Gia Loc Commune,Xã Gia Lộc,Gia Lộc,FALSE
vi,VN,30016202,Loc Hung Commune,Xã Lộc Hưng,Lộc Hưng,FALSE
vi,VN,30016199,Gia Binh Commune,Xã Gia Bình,Gia Bình,FALSE
vi,VN,30016195,Don Thuan Commune,Xã Đôn Thuận,Đôn Thuận,FALSE
vi,VN,10010063,Cam Lam District,Huyện Cam Lâm,Cam Lâm,FALSE
vi,VN,30016198,Binh Thanh Commune,Xã Bình Thạnh,Bình Thạnh,FALSE
vi,VN,30016201,Hung Thuan Commune,Xã Hưng Thuận,Hưng Thuận,FALSE
vi,VN,30016203,Phuoc Chi Commune,Xã Phước Chỉ,Phước Chỉ,FALSE
vi,VN,10010007,Yen Phu Township,Thị trấn Yên Phú,Yên Phú,FALSE
vi,VN,30016830,Giang Dien Commune,Xã Giang Điền,Giang Điền,FALSE
vi,VN,30014482,Coc Pai Township,Thị trấn Cốc Pài,Cốc Pài,FALSE
vi,VN,30073500,Lao Cai,Tỉnh Lào Cai,Lào Cai,FALSE
vi,VN,10010002,Lao Cai Province,Tỉnh Lào Cai,Lào Cai,FALSE
vi,VN,30010647,Lao Cai City,Thành phố Lào Cai,Lào Cai,FALSE
vi,VN,30010598,Bac Kan City,Thành phố Bắc Kạn,Bắc Kạn,FALSE
vi,VN,30016007,Dinh Ca Township,Thị trấn Đình Cả,Đình Cả,FALSE
vi,VN,10010206,Cho Chu Township,Thị trấn Chợ Chu,Chợ Chu,FALSE
vi,VN,30014636,Hoa Tri Commune,Xã Hòa Trị,Hòa Trị,FALSE
vi,VN,30014626,Hoa Hoi Commune,Xã Hòa Hội,Hòa Hội,FALSE
vi,VN,30014608,Hoa An Commune,Xã Hòa An,Hòa An,FALSE
vi,VN,30014635,Hoa Thang Commune,Xã Hòa Thắng,Hòa Thắng,FALSE
vi,VN,30014633,Hoa Quang Nam Commune,Xã Hòa Quang Nam,Hòa Quang Nam,FALSE
vi,VN,30014639,Hoa Dinh Dong Commune,Xã Hòa Định Đông,Hòa Định Đông,FALSE
vi,VN,30014631,Hoa Quang Bac Commune,Xã Hòa Quang Bắc,Hòa Quang Bắc,FALSE
vi,VN,30014637,Hoa Dinh Tay Commune,Xã Hòa Định Tây,Hòa Định Tây,FALSE
vi,VN,30015838,Ba Hang Township,Thị trấn Ba Hàng,Ba Hàng,FALSE
vi,VN,30014548,Binh Ngoc Commune,Xã Bình Ngọc,Bình Ngọc,FALSE
vi,VN,30014546,An Phu Commune,Xã An Phú,An Phú,FALSE
vi,VN,30014547,Binh Kien Commune,Xã Bình Kiến,Bình Kiến,FALSE
vi,VN,30014549,Hoa Kien Commune,Xã Hòa Kiến,Hòa Kiến,FALSE
vi,VN,30014899,An Hoa Commune,Xã An Hòa,An Hòa,FALSE
vi,VN,30014893,An Dinh Commune,Xã An Định,An Định,FALSE
vi,VN,30014892,An Thach Commune,Xã An Thạch,An Thạch,FALSE
vi,VN,30015836,Bac Son Township,Thị trấn Bắc Sơn,Bắc Sơn,FALSE
vi,VN,30014902,An Chan Commune,Xã An Chấn,An Chấn,FALSE
vi,VN,30014894,An Nghiep Commune,Xã An Nghiệp,An Nghiệp,FALSE
vi,VN,30014903,An Tho Commune,Xã An Thọ,An Thọ,FALSE
vi,VN,30014900,An Hiep Commune,Xã An Hiệp,An Hiệp,FALSE
vi,VN,30014891,An Ninh Dong Commune,Xã An Ninh Đông,An Ninh Đông,FALSE
vi,VN,30014897,An Xuan Commune,Xã An Xuân,An Xuân,FALSE
vi,VN,30014890,An Ninh Tay Commune,Xã An Ninh Tây,An Ninh Tây,FALSE
vi,VN,30014898,An Linh Commune,Xã An Lĩnh,An Lĩnh,FALSE
vi,VN,30014889,An Dan Commune,Xã An Dân,An Dân,FALSE
vi,VN,30014895,An Hai Commune,Xã An Hải,An Hải,FALSE
vi,VN,30014901,An My Commune,Xã An Mỹ,An Mỹ,FALSE
vi,VN,30014896,An Cu Commune,Xã An Cư,An Cư,FALSE
vi,VN,30073498,Phu Tho,Tỉnh Phú Thọ,Phú Thọ,FALSE
vi,VN,30014884,Hoa Phong Commune,Xã Hòa Phong,Hòa Phong,FALSE
vi,VN,30014826,Son Thanh Tay Commune,Xã Sơn Thành Tây,Sơn Thành Tây,FALSE
vi,VN,30014830,Hoa My Dong Commune,Xã Hòa Mỹ Đông,Hòa Mỹ Đông,FALSE
vi,VN,30014886,Hoa Tan Tay Commune,Xã Hòa Tân Tây,Hòa Tân Tây,FALSE
vi,VN,30014831,Hoa Thinh Commune,Xã Hòa Thịnh,Hòa Thịnh,FALSE
vi,VN,30014829,Hoa My Tay Commune,Xã Hòa Mỹ Tây,Hòa Mỹ Tây,FALSE
vi,VN,30014828,Hoa Binh 1 Commune,Xã Hòa Bình 1,Hòa Bình 1,FALSE
vi,VN,10010645,Tan Son District,Huyện Tân Sơn,Tân Sơn,FALSE
vi,VN,30014959,Tieu Son Commune,Xã Tiêu Sơn,Tiêu Sơn,FALSE
vi,VN,30014787,Xuan Lanh Commune,Xã Xuân Lãnh,Xuân Lãnh,FALSE
vi,VN,30014797,Xuan Quang 3 Commune,Xã Xuân Quang 3,Xuân Quang 3,FALSE
vi,VN,30014788,Xuan Long Commune,Xã Xuân Long,Xuân Long,FALSE
vi,VN,30014791,Xuan Son Bac Commune,Xã Xuân Sơn Bắc,Xuân Sơn Bắc,FALSE
vi,VN,30014798,Xuan Phuoc Commune,Xã Xuân Phước,Xuân Phước,FALSE
